scene,degradation,channel,severity,frame,n_gt,tp,fp,fn,precision,recall,f1,mean_iou,depth_err_signed,depth_err_max,err3d,reliability,status,diagnosis1,diagnosis_all,latency_ms,monitor_ms,n_tracks,s_confidence,s_sharpness,s_exposure,s_clipping,s_noise,s_chroma,s_ood,s_temporal,s_motion,s_depth_valid,s_depth_consistency,s_geometry,s_timing,depth_err_corr,failure
multi,none,none,0.0,21,3,3,0,0,1.0,1.0,1.0,0.8639149865344526,-1.1152590184971902,2.1354192650836445,1.1245743117834954,0.8849024986333899,TRUSTED,Unstable tracking / temporal disagreement,Unstable tracking / temporal disagreement | Distribution shift (input unlike calibration set) | Geometric inconsistency (calibration or depth scale error),45.197437000013,6.234304000031443,3,0.9279348149322084,1.0,0.9677888425464378,1.0,1.0,1.0,0.772144231419027,0.5041375088247513,0.793036640534778,0.9978021978021978,0.983140478500937,0.8853810315567051,1.0,1.0241010776464503,1
multi,none,none,0.0,22,3,3,0,0,1.0,1.0,1.0,0.8820037082108932,-1.113169753033181,2.134248443271801,1.1248014124025207,0.8825483372458567,TRUSTED,Unstable tracking / temporal disagreement,Unstable tracking / temporal disagreement | Distribution shift (input unlike calibration set) | Geometric inconsistency (calibration or depth scale error),45.71105499996975,6.424779000042236,3,0.9301146301979465,1.0,0.9623621597999252,1.0,1.0,1.0,0.7075026979118366,0.5270763422735596,0.8112081628291774,0.9966490299823633,0.9811593264169566,0.8888765975321484,1.0,1.0261903431104595,1
multi,none,none,0.0,23,3,3,0,0,1.0,1.0,1.0,0.8831381282445481,-1.1105990409851074,2.1318416595458984,1.1250306180778418,0.8796499948131475,TRUSTED,Unstable tracking / temporal disagreement,Unstable tracking / temporal disagreement | Distribution shift (input unlike calibration set) | Geometric inconsistency (calibration or depth scale error),45.90654000003269,6.291298999997252,3,0.9307790489657118,1.0,0.9546296144002697,1.0,1.0,1.0,0.681252901153917,0.5419691372601786,0.8101479938691034,0.9972789115646258,0.9792656572961536,0.8751502788419387,1.0,1.028761055158533,1
multi,motion_blur,image,0.25,0,2,2,0,0,1.0,1.0,1.0,0.8616541353383459,-1.244034767150879,2.1380691528320312,1.2588873292674259,0.2654247009538355,DEGRADED,Unstable tracking / temporal disagreement,Unstable tracking / temporal disagreement | Motion blur or defocus | Distribution shift (input unlike calibration set),43.876501999932316,6.018670999992537,2,0.8995985804350336,0.7077858078783809,0.9965249351686147,1.0,1.0,0.9995493167870548,0.8551522096408373,0.0,1.0,0.8614163614163615,0.9907716530492656,0.9692784097154019,1.0,0.8953253289927616,0
multi,motion_blur,image,0.25,1,2,2,0,0,1.0,1.0,1.0,0.8547698120740173,-1.2448030969370976,2.1396058124044686,1.2543549341855866,0.8370025862711094,TRUSTED,Erratic object motion (large filter innovation),Erratic object motion (large filter innovation) | Motion blur or defocus | Unstable tracking / temporal disagreement,43.920123000020794,6.2872650000258545,2,0.8920166597729012,0.6413286293118671,0.9972242280763097,1.0,1.0,0.9939848880703541,0.847754753741825,0.6585227272727273,0.36768134250786266,0.8524440762220381,0.9907593204098566,0.9398096345862825,1.0,0.894556999206543,0
multi,motion_blur,image,0.25,2,2,2,0,0,1.0,1.0,1.0,0.8505404484362938,-1.2439535182455312,2.137906655021336,1.25447536615892,0.8565231210026555,TRUSTED,Motion blur or defocus,Motion blur or defocus | Erratic object motion (large filter innovation) | Unstable tracking / temporal disagreement,43.64798099999234,5.96153500003993,2,0.8895523004901151,0.6218498477983584,0.9966317568469778,1.0,1.0,0.9985687209459294,0.8465572767981625,0.7415872161684506,0.534563631421553,0.8470588235294118,0.9907612360413235,0.9000054010140563,1.0,0.8954065778981093,0
multi,motion_blur,image,0.25,3,2,2,0,0,1.0,1.0,1.0,0.8783577101340678,-1.2442721905915626,2.1385439997133986,1.2541787683891195,0.8605995537343363,TRUSTED,Motion blur or defocus,Motion blur or defocus | Erratic object motion (large filter innovation) | Unstable tracking / temporal disagreement,43.87559199994939,6.212533999985226,2,0.9026775578378662,0.5600850101043172,0.996525996311115,1.0,1.0,0.9997666529537164,0.8313315801860606,0.801227848921177,0.6400078005896653,0.8352028172688144,0.9907450401543308,0.8892881939136796,1.0,0.895087905552078,0
multi,motion_blur,image,0.25,4,2,2,0,0,1.0,1.0,1.0,0.8525413065458554,-1.2443457686382793,2.138691155806832,1.253349842270422,0.852467600577383,TRUSTED,Motion blur or defocus,Motion blur or defocus | Distribution shift (input unlike calibration set) | Unstable tracking / temporal disagreement,44.06177300000991,6.050740000034693,2,0.9011843267144706,0.49425027115104275,0.9966621762653196,1.0,1.0,0.9968834711372517,0.811069114175939,0.8232923690966713,0.7076113811817679,0.8447420634920635,0.9902545871008644,0.8547476694235989,1.0,0.8950143275053613,0
multi,motion_blur,image,0.25,5,2,2,0,0,1.0,1.0,1.0,0.8645282041049671,-1.2441742523856778,2.138348123301629,1.2524475988904316,0.8546588894790034,TRUSTED,Motion blur or defocus,Motion blur or defocus | Distribution shift (input unlike calibration set) | Geometric inconsistency (calibration or depth scale error),44.469107000054464,6.33813300004249,2,0.9001538381138277,0.47409971840761406,0.9960636918951529,1.0,1.0,1.0,0.8044288936339961,0.8392284073404921,0.7505422926487125,0.8630437860606703,0.9897263159661712,0.8594645071127357,1.0,0.8951858437579627,0
multi,motion_blur,image,0.25,6,2,2,0,0,1.0,1.0,1.0,0.8541193644778905,-1.242551720660666,2.1351030598516054,1.2547960000300304,0.8473850642004845,TRUSTED,Motion blur or defocus,Motion blur or defocus | Geometric inconsistency (calibration or depth scale error) | Distribution shift (input unlike calibration set),43.83498299995381,6.018186000005699,2,0.848120087923477,0.46580547907976133,0.9965182145994462,1.0,1.0,0.9972462821636122,0.8022850569592401,0.8439812409225109,0.7684552317819099,0.8829085696081556,0.989727992977166,0.8237892666340496,1.0,0.8968083754829745,0
